"Area","Inhabitants, total, 2018 (HE)","0-2 years, 2018 (HE)","3-6 years, 2018 (HE)","7-12 years, 2018 (HE)","13-15 years, 2018 (HE)","16-17 years, 2018 (HE)","18-19 years, 2018 (HE)","20-24 years, 2018 (HE)","25-29 years, 2018 (HE)","30-34 years, 2018 (HE)","35-39 years, 2018 (HE)","40-44 years, 2018 (HE)","45-49 years, 2018 (HE)","50-54 years, 2018 (HE)","55-59 years, 2018 (HE)","60-64 years, 2018 (HE)","65-69 years, 2018 (HE)","70-74 years, 2018 (HE)","75-79 years, 2018 (HE)","80-84 years, 2018 (HE)","85 years or over, 2018 (HE)","Average floor area, 2018 (RA)"
"Oulu",203567,6530,10090,15782,7408,4632,5465,17215,16595,14418,14203,13591,11196,11794,11527,11041,10394,8616,5463,4102,3505,77.1
"Pudasjärvi",7990,196,350,547,293,196,152,238,308,317,310,346,358,524,696,729,726,566,454,373,311,85.8
"Pyhäjoki",3146,89,148,243,119,75,77,103,127,151,153,186,166,201,195,222,286,235,144,102,124,96.8
"Pyhäjärvi",5248,140,200,326,167,96,74,193,214,208,229,225,228,355,394,477,480,442,311,245,244,84.4
"Pyhäntä",1557,53,92,142,79,41,28,75,63,76,79,79,63,81,117,140,127,83,57,45,37,91.4
"Raahe",24811,731,1245,2065,991,613,558,1057,1139,1270,1469,1496,1404,1405,1565,1863,1936,1689,1023,663,629,87.7
"Reisjärvi",2743,82,134,210,128,80,76,114,126,132,114,129,115,195,199,197,207,177,128,103,97,96.8
"Sievi",4980,196,328,598,281,162,151,215,214,255,257,284,242,287,292,275,283,250,151,122,137,100.4
"Siikajoki",5249,186,308,512,237,150,111,186,205,250,322,289,229,309,363,428,404,307,163,137,153,94.6
"Vaala",2869,58,78,148,94,67,48,90,82,74,108,99,135,217,271,289,298,243,192,146,132,87.5
"Siikalatva",5301,117,203,365,184,108,107,161,199,216,265,246,274,390,429,445,439,384,274,251,244,89.4
"Taivalkoski",4024,78,143,282,143,89,79,177,171,158,157,154,187,308,341,401,359,268,224,174,131,90.7
"Tyrnävä",6758,330,591,956,378,226,172,240,279,436,448,412,361,382,334,358,273,218,150,109,105,102.4
"Utajärvi",2702,45,113,187,109,68,52,100,78,113,119,108,118,205,227,256,248,201,121,104,130,85.4
"Ylivieska",15212,590,936,1315,616,392,392,830,976,1039,1037,826,701,737,886,1015,953,739,477,391,364,86.5
"Hyrynsalmi",2287,35,51,89,48,47,22,63,70,65,65,73,109,179,206,281,265,224,163,123,109,86.8
"Kajaani",36973,996,1572,2538,1179,780,931,2410,2331,2266,2198,1950,1795,2246,2689,2745,2629,2131,1432,1120,1035,78.0
"Kuhmo",8329,128,225,450,229,134,114,221,276,324,342,379,427,597,731,850,895,726,520,428,333,85.1
"Paltamo",3336,55,102,195,106,71,55,98,110,128,149,143,158,234,317,345,324,277,187,136,146,83.5
"Puolanka",2597,37,47,119,60,40,43,77,67,70,84,96,133,193,260,300,280,277,173,110,131,82.1
"Ristijärvi",1288,23,41,57,30,20,12,28,50,50,55,38,42,91,136,144,132,112,66,57,104,88.2
"Sotkamo",10389,267,429,678,365,222,230,376,420,510,605,592,594,723,816,873,858,682,457,327,365,89.5
"Suomussalmi",7862,117,223,335,215,158,115,179,235,265,329,332,435,601,724,855,846,690,456,378,374,85.7
"Enontekiö",1852,33,65,109,42,29,20,70,76,102,106,96,103,136,161,195,199,135,83,50,42,87.3
"Inari",6930,144,210,392,186,119,120,244,373,377,402,404,415,489,630,673,580,470,290,226,186,82.0
"Kemi",21021,518,797,1361,610,406,469,1049,1128,1167,1146,1103,1033,1335,1580,1775,1720,1406,902,782,734,73.6
"Keminmaa",8147,226,367,600,314,182,187,304,353,423,494,466,447,569,621,615,652,579,289,253,206,95.4
"Kittilä",6436,167,277,396,207,109,104,323,393,447,424,402,358,467,516,478,475,317,210,193,173,85.7
"Kolari",3834,96,158,245,99,54,61,133,210,222,226,172,176,302,334,339,328,257,186,134,102,90.5
"Kemijärvi",7370,99,191,320,169,125,105,190,236,285,279,252,318,541,715,755,814,683,525,417,351,80.6
"Muonio",2299,52,86,167,72,45,37,88,125,113,124,120,139,156,173,195,186,149,132,79,61,98.9
"Pelkosenniemi",954,19,25,35,14,10,7,15,38,32,45,50,47,63,89,131,108,86,61,43,36,83.3
"Posio",3237,34,73,128,80,66,40,78,74,84,123,113,171,277,332,334,383,329,232,167,119,93.4
"Ranua",3896,94,174,339,181,110,87,153,153,142,139,168,176,226,352,366,331,257,175,149,124,90.5
"Rovaniemi",62922,1787,2780,4496,1917,1344,1562,4915,4744,4404,4091,3422,2965,3863,4375,4326,3850,2974,2060,1649,1398,76.5
"Salla",3491,40,93,151,85,49,31,99,98,104,126,150,135,236,366,411,398,294,197,234,194,85.8
"Savukoski",1015,21,30,33,31,17,19,18,33,40,41,40,43,88,111,113,98,90,66,47,36,91.7
"Simo",3045,50,104,196,118,89,65,71,72,99,153,153,155,207,263,285,314,245,191,127,88,97.5
"Sodankylä",8444,177,334,478,201,151,148,358,467,491,421,389,412,622,799,729,705,583,398,340,241,83.3
"Tervola",3062,95,133,194,109,64,66,125,137,123,129,110,161,213,270,264,217,216,173,133,130,88.8
"Tornio",21875,621,956,1679,842,528,553,1156,1278,1135,1255,1309,1213,1268,1533,1605,1666,1367,780,578,553,89.4
"Pello",3438,50,87,117,94,60,43,106,118,113,124,117,138,230,321,383,416,298,247,192,184,93.8
"Utsjoki",1232,28,38,83,43,20,23,23,40,68,71,54,80,90,94,109,106,106,63,50,43,88.5
"Ylitornio",4022,57,100,192,99,86,79,137,139,113,169,160,167,267,376,416,421,313,257,239,235,92.8
"Brändö",449,4,12,19,14,5,7,16,24,13,17,16,26,32,48,45,44,45,28,13,21,90.4
"Eckerö",961,24,38,57,23,20,13,35,48,57,54,55,54,80,79,80,73,64,45,31,31,99.0
"Finström",2588,78,119,199,100,56,48,95,141,153,159,159,180,203,167,163,183,140,109,64,72,105.2
"Föglö",534,12,21,21,16,15,14,23,30,28,26,30,27,37,31,40,47,37,32,14,33,99.4
"Geta",514,9,22,39,18,10,9,21,26,32,34,28,30,37,48,33,27,29,23,18,21,101.1
"Hammarland",1577,52,73,122,67,30,29,51,80,97,100,101,125,112,110,86,95,106,61,35,45,101.2
"Jomala",5032,218,291,460,208,120,89,167,322,304,390,397,364,396,280,275,253,232,130,77,59,115.0
"Kumlinge",315,6,9,13,5,6,4,6,15,16,18,9,8,23,31,35,34,22,11,24,20,95.4
"Kökar",236,0,3,7,7,9,9,8,6,8,6,4,18,29,19,17,18,27,19,11,11,83.1
"Lemland",2033,88,116,151,75,53,51,85,91,125,135,123,157,156,147,117,109,113,69,42,30,116.9
"Lumparland",382,9,12,32,11,4,12,14,12,13,16,24,23,31,34,29,24,29,27,16,10,108.3
"Mariehamn",11743,318,458,694,334,231,263,643,819,789,735,703,737,803,733,752,781,762,503,347,338,81.0
"Saltvik",1858,56,99,127,64,37,35,70,78,95,123,118,107,138,131,134,138,125,63,51,69,106.1
"Sottunga",91,2,0,0,1,1,2,2,6,3,2,1,4,8,12,9,12,11,5,5,5,90.1
"Sund",1028,20,46,74,32,15,16,41,47,50,44,70,72,89,71,80,79,83,45,35,19,96.0
"Vårdö",448,20,13,28,11,13,3,16,29,21,22,18,24,38,29,22,43,30,24,18,26,106.4
